Category,Building,Level,Hitpoints,DPS,Cost,Time,Required Town Hall
Defenses,Mortar,12,1500,38,2400000,1d 12h,12
Defenses,Mortar,13,1700,42,2800000,2d,13
Defenses,Mortar,14,1950,48,4300000,2d 12h,14
Defenses,Mortar,15,2150,54,5000000,3d,15
Defenses,Mortar,16,2300,60,7000000,4d,16
Defenses,Mortar,17,2450,66,13000000,5d,17
Defenses,Mortar,18,2550,72,21000000,12d 12h,18
Defenses,Scattershot,1,3600,125,8000000,5d,13
Defenses,Scattershot,2,4200,150,9000000,7d,13
Defenses,Scattershot,3,4800,170,11000000,7d 12h,14
Defenses,Scattershot,4,5100,175,11500000,8d,15
Defenses,Scattershot,5,5410,180,12000000,8d 12h,16
Defenses,Scattershot,6,5600,185,16500000,9d,17
Defenses,Scattershot,7,5800,190,26500000,15d,18
Defenses,Spell Tower,1,2500,,9000000,7d,15
Defenses,Spell Tower,2,2800,,11000000,8d,15
Defenses,Spell Tower,3,3100,,12000000,8d 12h,15
Defenses,Spell Tower,4,3200,,27000000,10d,17
Defenses,Wizard Tower,1,620,11,100000,1h,5
Defenses,Wizard Tower,2,650,13,150000,1h 30m,5
Defenses,Wizard Tower,3,680,16,250000,4h,6
Defenses,Wizard Tower,4,730,20,400000,8h,7
Defenses,Wizard Tower,5,840,24,550000,10h,8
Defenses,Wizard Tower,6,960,32,660000,12h,8
Defenses,Wizard Tower,7,1200,40,1000000,18h,9
Defenses,Wizard Tower,8,1440,45,1100000,20h,10
Defenses,Wizard Tower,9,1600,50,1300000,1d,10
Defenses,Wizard Tower,10,1900,62,2000000,1d 6h,11
Defenses,Wizard Tower,11,2120,70,2500000,1d 12h,12
Defenses,Wizard Tower,12,2240,78,2600000,1d 18h,13
Defenses,Wizard Tower,13,2500,84,3000000,2d,13
Defenses,Wizard Tower,14,2800,90,4500000,3d,14
Defenses,Wizard Tower,15,3000,95,5500000,4d,15
Defenses,Wizard Tower,16,3150,102,8000000,4d 12h,16
Defenses,Wizard Tower,17,3300,110,14000000,5d 12h,17
Defenses,X-Bow,1,1500,60,1000000,12h,9
Defenses,X-Bow,2,1900,70,1200000,1d,9
Defenses,X-Bow,3,2300,80,2400000,2d,9
Defenses,X-Bow,4,2700,85,2500000,2d 12h,10
Defenses,X-Bow,5,3100,95,3900000,3d,11
Defenses,X-Bow,6,3400,110,5000000,3d 12h,12
Defenses,X-Bow,7,3700,130,6000000,4d,13
Defenses,X-Bow,8,4000,155,7000000,4d 12h,13
Defenses,X-Bow,9,4200,185,9000000,5d,14
Defenses,X-Bow,10,4400,205,9500000,5d 12h,15
Defenses,X-Bow,11,4600,225,10000000,6d,16
Defenses,X-Bow,12,4800,235,16000000,8d,17
Defenses,X-Bow,13,5000,245,26000000,13d 12h,18
Hero Equipment,Archer Puppet,1,,,N/A / N/A,Instant,N/A
Hero Equipment,Archer Puppet,2,,,120 / -,Instant,1
Hero Equipment,Archer Puppet,3,,,240 / 20,Instant,1
Hero Equipment,Archer Puppet,4,,,400 / -,Instant,1
Hero Equipment,Archer Puppet,5,,,600 / -,Instant,1
Hero Equipment,Archer Puppet,6,,,840 / 100,Instant,1
Hero Equipment,Archer Puppet,7,,,1120 / -,Instant,1
Hero Equipment,Archer Puppet,8,,,1440 / -,Instant,1
Hero Equipment,Archer Puppet,9,,,1800 / 200,Instant,1
Hero Equipment,Archer Puppet,10,,,1900 / -,Instant,3
Hero Equipment,Archer Puppet,11,,,2000 / -,Instant,3
Hero Equipment,Archer Puppet,12,,,2100 / 400,Instant,3
Hero Equipment,Archer Puppet,13,,,2200 / -,Instant,5
Hero Equipment,Archer Puppet,14,,,2300 / -,Instant,5
Hero Equipment,Archer Puppet,15,,,2400 / 600,Instant,5
Hero Equipment,Archer Puppet,16,,,2500 / -,Instant,7
Hero Equipment,Archer Puppet,17,,,2600 / -,Instant,7
Hero Equipment,Archer Puppet,18,,,2700 / 600,Instant,7
Hero Equipment,Barbarian Puppet,1,,,N/A / N/A,Instant,N/A
Hero Equipment,Barbarian Puppet,2,,,120 / -,Instant,1
Hero Equipment,Barbarian Puppet,3,,,240 / 20,Instant,1
Hero Equipment,Barbarian Puppet,4,,,400 / -,Instant,1
Hero Equipment,Barbarian Puppet,5,,,600 / -,Instant,1
Hero Equipment,Barbarian Puppet,6,,,840 / 100,Instant,1
Hero Equipment,Barbarian Puppet,7,,,1120 / -,Instant,1
Hero Equipment,Barbarian Puppet,8,,,1440 / -,Instant,1
Hero Equipment,Barbarian Puppet,9,,,1800 / 200,Instant,1
Hero Equipment,Barbarian Puppet,10,,,1900 / -,Instant,3
Hero Equipment,Barbarian Puppet,11,,,2000 / -,Instant,3
Hero Equipment,Barbarian Puppet,12,,,2100 / 400,Instant,3
Hero Equipment,Barbarian Puppet,13,,,2200 / -,Instant,5
Hero Equipment,Barbarian Puppet,14,,,2300 / -,Instant,5
Hero Equipment,Barbarian Puppet,15,,,2400 / 600,Instant,5
Hero Equipment,Barbarian Puppet,16,,,2500 / -,Instant,7
Hero Equipment,Barbarian Puppet,17,,,2600 / -,Instant,7
Hero Equipment,Barbarian Puppet,18,,,2700 / 600,Instant,7
Hero Equipment,Earthquake Boots,1,,,N/A / N/A,Instant,1
Hero Equipment,Earthquake Boots,2,,,120 / -,Instant,1
Hero Equipment,Earthquake Boots,3,,,240 / 20,Instant,1
Hero Equipment,Earthquake Boots,4,,,400 / -,Instant,1
Hero Equipment,Earthquake Boots,5,,,600 / -,Instant,1
Hero Equipment,Earthquake Boots,6,,,840 / 100,Instant,1
Hero Equipment,Earthquake Boots,7,,,1120 / -,Instant,1
Hero Equipment,Earthquake Boots,8,,,1440 / -,Instant,1
Hero Equipment,Earthquake Boots,9,,,1800 / 200,Instant,1
Hero Equipment,Earthquake Boots,10,,,1900 / -,Instant,3
Hero Equipment,Earthquake Boots,11,,,2000 / -,Instant,3
Hero Equipment,Earthquake Boots,12,,,2100 / 400,Instant,3
Hero Equipment,Earthquake Boots,13,,,2200 / -,Instant,5
Hero Equipment,Earthquake Boots,14,,,2300 / -,Instant,5
Hero Equipment,Earthquake Boots,15,,,2400 / 600,Instant,5
Hero Equipment,Earthquake Boots,16,,,2500 / -,Instant,7
Hero Equipment,Earthquake Boots,17,,,2600 / -,Instant,7
Hero Equipment,Earthquake Boots,18,,,2700 / 600,Instant,7
Hero Equipment,Eternal Tome,1,,,N/A / N/A,Instant,N/A
Hero Equipment,Eternal Tome,2,,,120 / -,Instant,1
Hero Equipment,Eternal Tome,3,,,240 / 20,Instant,1
Hero Equipment,Eternal Tome,4,,,400 / -,Instant,1
Hero Equipment,Eternal Tome,5,,,600 / -,Instant,1
Hero Equipment,Eternal Tome,6,,,840 / 100,Instant,1
Hero Equipment,Eternal Tome,7,,,1120 / -,Instant,1
Hero Equipment,Eternal Tome,8,,,1440 / -,Instant,1
Hero Equipment,Eternal Tome,9,,,1800 / 200,Instant,1
Hero Equipment,Eternal Tome,10,,,1900 / -,Instant,3
Hero Equipment,Eternal Tome,11,,,2000 / -,Instant,3
Hero Equipment,Eternal Tome,12,,,2100 / 400,Instant,3
Hero Equipment,Eternal Tome,13,,,2200 / -,Instant,5
Hero Equipment,Eternal Tome,14,,,2300 / -,Instant,5
Hero Equipment,Eternal Tome,15,,,2400 / 600,Instant,5
Hero Equipment,Eternal Tome,16,,,2500 / -,Instant,7
Hero Equipment,Eternal Tome,17,,,2600 / -,Instant,7
Hero Equipment,Eternal Tome,18,,,2700 / 600,Instant,7
Hero Equipment,Giant Arrow,1,,,N/A / N/A,Instant,2
Hero Equipment,Giant Arrow,2,,,120 / -,Instant,2
Hero Equipment,Giant Arrow,3,,,240 / 20,Instant,2
Hero Equipment,Giant Arrow,4,,,400 / -,Instant,2
Hero Equipment,Giant Arrow,5,,,600 / -,Instant,2
Hero Equipment,Giant Arrow,6,,,840 / 100,Instant,2
Hero Equipment,Giant Arrow,7,,,1120 / -,Instant,2
Hero Equipment,Giant Arrow,8,,,1440 / -,Instant,2
Hero Equipment,Giant Arrow,9,,,1800 / 200,Instant,2
Hero Equipment,Giant Arrow,10,,,1900 / -,Instant,3
Hero Equipment,Giant Arrow,11,,,2000 / -,Instant,3
Hero Equipment,Giant Arrow,12,,,2100 / 400,Instant,3
Hero Equipment,Giant Arrow,13,,,2200 / -,Instant,5
Hero Equipment,Giant Arrow,14,,,2300 / -,Instant,5
Hero Equipment,Giant Arrow,15,,,2400 / 600,Instant,5
Hero Equipment,Giant Arrow,16,,,2500 / -,Instant,7
Hero Equipment,Giant Arrow,17,,,2600 / -,Instant,7
Hero Equipment,Giant Arrow,18,,,2700 / 600,Instant,7
Hero Equipment,Giant Gauntlet,1,,,N/A / N/A / N/A,Instant,1
Hero Equipment,Giant Gauntlet,2,,,120 / - / -,Instant,1
Hero Equipment,Giant Gauntlet,3,,,240 / 20 / -,Instant,1
Hero Equipment,Giant Gauntlet,4,,,400 / - / -,Instant,1
Hero Equipment,Giant Gauntlet,5,,,600 / - / -,Instant,1
Hero Equipment,Giant Gauntlet,6,,,840 / 100 / -,Instant,1
Hero Equipment,Giant Gauntlet,7,,,1120 / - / -,Instant,1
Hero Equipment,Giant Gauntlet,8,,,1440 / - / -,Instant,1
Hero Equipment,Giant Gauntlet,9,,,1800 / 200 / 10,Instant,1
Hero Equipment,Giant Gauntlet,10,,,1900 / - / -,Instant,1
Hero Equipment,Giant Gauntlet,11,,,2000 / - / -,Instant,1
Hero Equipment,Giant Gauntlet,12,,,2100 / 400 / 20,Instant,1
Hero Equipment,Giant Gauntlet,13,,,2200 / - / -,Instant,3
Hero Equipment,Giant Gauntlet,14,,,2300 / - / -,Instant,3
Hero Equipment,Giant Gauntlet,15,,,2400 / 600 / 30,Instant,3
Hero Equipment,Giant Gauntlet,16,,,2500 / - / -,Instant,5
Hero Equipment,Giant Gauntlet,17,,,2600 / - / -,Instant,5
Hero Equipment,Giant Gauntlet,18,,,2700 / 600 / 50,Instant,5
Hero Equipment,Giant Gauntlet,19,,,2800 / - / -,Instant,7
Hero Equipment,Giant Gauntlet,20,,,2900 / - / -,Instant,7
Hero Equipment,Giant Gauntlet,21,,,3000 / 600 / 100,Instant,7
Hero Equipment,Giant Gauntlet,22,,,3100 / - / -,Instant,8
Hero Equipment,Giant Gauntlet,23,,,3200 / - / -,Instant,8
Hero Equipment,Giant Gauntlet,24,,,3300 / 600 / 120,Instant,8
Hero Equipment,Giant Gauntlet,25,,,3400 / - / -,Instant,9
Hero Equipment,Giant Gauntlet,26,,,3500 / - / -,Instant,9
Hero Equipment,Giant Gauntlet,27,,,3600 / 600 / 150,Instant,9
Hero Equipment,Healer Puppet,1,,,N/A / N/A,Instant,5
Hero Equipment,Healer Puppet,2,,,120 / -,Instant,5
Hero Equipment,Healer Puppet,3,,,240 / 20,Instant,5
Hero Equipment,Healer Puppet,4,,,400 / -,Instant,5
Hero Equipment,Healer Puppet,5,,,600 / -,Instant,5
Hero Equipment,Healer Puppet,6,,,840 / 100,Instant,5
Hero Equipment,Healer Puppet,7,,,1120 / -,Instant,5
Hero Equipment,Healer Puppet,8,,,1440 / -,Instant,5
Hero Equipment,Healer Puppet,9,,,1800 / 200,Instant,5
Hero Equipment,Healer Puppet,10,,,1900 / -,Instant,5
Hero Equipment,Healer Puppet,11,,,2000 / -,Instant,5
Hero Equipment,Healer Puppet,12,,,2100 / 400,Instant,5
Hero Equipment,Healer Puppet,13,,,2200 / -,Instant,5
Hero Equipment,Healer Puppet,14,,,2300 / -,Instant,5
Hero Equipment,Healer Puppet,15,,,2400 / 600,Instant,5
Hero Equipment,Healer Puppet,16,,,2500 / -,Instant,7
Hero Equipment,Healer Puppet,17,,,2600 / -,Instant,7
Hero Equipment,Healer Puppet,18,,,2700 / 600,Instant,7
Hero Equipment,Healing Tome,1,,,N/A / N/A,Instant,6
Hero Equipment,Healing Tome,2,,,120 / -,Instant,6
Hero Equipment,Healing Tome,3,,,240 / 20,Instant,6
Hero Equipment,Healing Tome,4,,,400 / -,Instant,6
Hero Equipment,Healing Tome,5,,,600 / -,Instant,6
Hero Equipment,Healing Tome,6,,,840 / 100,Instant,6
Hero Equipment,Healing Tome,7,,,1120 / -,Instant,6
Hero Equipment,Healing Tome,8,,,1440 / -,Instant,6
Hero Equipment,Healing Tome,9,,,1800 / 200,Instant,6
Hero Equipment,Healing Tome,10,,,1900 / -,Instant,6
Hero Equipment,Healing Tome,11,,,2000 / -,Instant,6
Hero Equipment,Healing Tome,12,,,2100 / 400,Instant,6
Hero Equipment,Healing Tome,13,,,2200 / -,Instant,6
Hero Equipment,Healing Tome,14,,,2300 / -,Instant,6
Hero Equipment,Healing Tome,15,,,2400 / 600,Instant,6
Hero Equipment,Healing Tome,16,,,2500 / -,Instant,7
Hero Equipment,Healing Tome,17,,,2600 / -,Instant,7
Hero Equipment,Healing Tome,18,,,2700 / 600,Instant,7
Hero Equipment,Invisibility Vial,1,,,N/A / N/A,Instant,N/A
Hero Equipment,Invisibility Vial,2,,,120 / -,Instant,1
Hero Equipment,Invisibility Vial,3,,,240 / 20,Instant,1
Hero Equipment,Invisibility Vial,4,,,400 / -,Instant,1
Hero Equipment,Invisibility Vial,5,,,600 / -,Instant,1
Hero Equipment,Invisibility Vial,6,,,840 / 100,Instant,1
Hero Equipment,Invisibility Vial,7,,,1120 / -,Instant,1
Hero Equipment,Invisibility Vial,8,,,1440 / -,Instant,1
Hero Equipment,Invisibility Vial,9,,,1800 / 200,Instant,1
Hero Equipment,Invisibility Vial,10,,,1900 / -,Instant,3
Hero Equipment,Invisibility Vial,11,,,2000 / -,Instant,3
Hero Equipment,Invisibility Vial,12,,,2100 / 400,Instant,3
Hero Equipment,Invisibility Vial,13,,,2200 / -,Instant,5
Hero Equipment,Invisibility Vial,14,,,2300 / -,Instant,5
Hero Equipment,Invisibility Vial,15,,,2400 / 600,Instant,5
Hero Equipment,Invisibility Vial,16,,,2500 / -,Instant,7
Hero Equipment,Invisibility Vial,17,,,2600 / -,Instant,7
Hero Equipment,Invisibility Vial,18,,,2700 / 600,Instant,7
Hero Equipment,Life Gem,1,,,N/A / N/A,Instant,N/A
Hero Equipment,Life Gem,2,,,120 / -,Instant,1
Hero Equipment,Life Gem,3,,,240 / 20,Instant,1
Hero Equipment,Life Gem,4,,,400 / -,Instant,1
Hero Equipment,Life Gem,5,,,600 / -,Instant,1
Hero Equipment,Life Gem,6,,,840 / 100,Instant,1
Hero Equipment,Life Gem,7,,,1120 / -,Instant,1
Hero Equipment,Life Gem,8,,,1440 / -,Instant,1
Hero Equipment,Life Gem,9,,,1800 / 200,Instant,1
Hero Equipment,Life Gem,10,,,1900 / -,Instant,3
Hero Equipment,Life Gem,11,,,2000 / -,Instant,3
Hero Equipment,Life Gem,12,,,2100 / 400,Instant,3
Hero Equipment,Life Gem,13,,,2200 / -,Instant,5
Hero Equipment,Life Gem,14,,,2300 / -,Instant,5
Hero Equipment,Life Gem,15,,,2400 / 600,Instant,5
Hero Equipment,Life Gem,16,,,2500 / -,Instant,7
Hero Equipment,Life Gem,17,,,2600 / -,Instant,7
Hero Equipment,Life Gem,18,,,2700 / 600,Instant,7
Hero Equipment,Rage Gem,1,,,N/A / N/A,Instant,4
Hero Equipment,Rage Gem,2,,,120 / -,Instant,4
Hero Equipment,Rage Gem,3,,,240 / 20,Instant,4
Hero Equipment,Rage Gem,4,,,400 / -,Instant,4
Hero Equipment,Rage Gem,5,,,600 / -,Instant,4
Hero Equipment,Rage Gem,6,,,840 / 100,Instant,4
Hero Equipment,Rage Gem,7,,,1120 / -,Instant,4
Hero Equipment,Rage Gem,8,,,1440 / -,Instant,4
Hero Equipment,Rage Gem,9,,,1800 / 200,Instant,4
Hero Equipment,Rage Gem,10,,,1900 / -,Instant,4
Hero Equipment,Rage Gem,11,,,2000 / -,Instant,4
Hero Equipment,Rage Gem,12,,,2100 / 400,Instant,4
Hero Equipment,Rage Gem,13,,,2200 / -,Instant,5
Hero Equipment,Rage Gem,14,,,2300 / -,Instant,5
Hero Equipment,Rage Gem,15,,,2400 / 600,Instant,5
Hero Equipment,Rage Gem,16,,,2500 / -,Instant,7
Hero Equipment,Rage Gem,17,,,2600 / -,Instant,7
Hero Equipment,Rage Gem,18,,,2700 / 600,Instant,7
Hero Equipment,Rage Vial,1,,,N/A / N/A,Instant,N/A
Hero Equipment,Rage Vial,2,,,120 / -,Instant,1
Hero Equipment,Rage Vial,3,,,240 / 20,Instant,1
Hero Equipment,Rage Vial,4,,,400 / -,Instant,1
Hero Equipment,Rage Vial,5,,,600 / -,Instant,1
Hero Equipment,Rage Vial,6,,,840 / 100,Instant,1
Hero Equipment,Rage Vial,7,,,1120 / -,Instant,1
Hero Equipment,Rage Vial,8,,,1440 / -,Instant,1
Hero Equipment,Rage Vial,9,,,1800 / 200,Instant,1
Hero Equipment,Rage Vial,10,,,1900 / -,Instant,3
Hero Equipment,Rage Vial,11,,,2000 / -,Instant,3
Hero Equipment,Rage Vial,12,,,2100 / 400,Instant,3
Hero Equipment,Rage Vial,13,,,2200 / -,Instant,5
Hero Equipment,Rage Vial,14,,,2300 / -,Instant,5
Hero Equipment,Rage Vial,15,,,2400 / 600,Instant,5
Hero Equipment,Rage Vial,16,,,2500 / -,Instant,7
Hero Equipment,Rage Vial,17,,,2600 / -,Instant,7
Hero Equipment,Rage Vial,18,,,2700 / 600,Instant,7
Heroes,Archer Queen,1,580,136,N/A,N/A,115
Heroes,Archer Queen,2,592,139,5000,2h,115
Heroes,Archer Queen,3,604,143,5500,4h,115
Heroes,Archer Queen,4,617,146,6000,8h,115
Heroes,Archer Queen,5,630,150,6500,10h,130
Heroes,Archer Queen,6,643,154,7000,12h,130
Heroes,Archer Queen,7,657,157,7500,14h,130
Heroes,Archer Queen,8,670,162,8000,16h,130
Heroes,Archer Queen,9,685,165,8500,18h,130
Heroes,Archer Queen,10,699,169,10000,20h,145
Heroes,Archer Queen,11,714,173,10500,22h,145
Heroes,Archer Queen,12,729,178,11000,1d,145
Heroes,Archer Queen,13,744,183,11500,1d,145
Heroes,Archer Queen,14,759,187,12000,1d,145
Heroes,Archer Queen,15,775,192,12500,1d,160
Heroes,Archer Queen,16,792,196,13000,1d,160
Heroes,Archer Queen,17,808,201,13500,1d,160
Heroes,Archer Queen,18,826,207,14000,1d,160
Heroes,Archer Queen,19,842,212,14500,1d,160
Heroes,Archer Queen,20,861,217,15000,1d,175
Heroes,Archer Queen,21,878,223,17000,1d,175
Heroes,Archer Queen,22,897,228,19000,1d,175
Heroes,Archer Queen,23,916,234,21000,1d,175
Heroes,Archer Queen,24,935,240,23000,1d,175
Heroes,Archer Queen,25,954,246,25000,1d,190
Heroes,Archer Queen,26,974,252,27000,2d,190
Heroes,Archer Queen,27,995,258,29000,2d,190
Heroes,Archer Queen,28,1016,264,31000,2d,190
Heroes,Archer Queen,29,1038,271,33000,2d,190
Heroes,Archer Queen,30,1059,278,35000,2d,205
Heroes,Archer Queen,31,1082,285,37000,2d 6h,205
Heroes,Archer Queen,32,1104,292,39000,2d 6h,205
Heroes,Archer Queen,33,1127,299,41000,2d 6h,205
Heroes,Archer Queen,34,1151,307,43000,2d 6h,205
Heroes,Archer Queen,35,1175,315,45000,2d 6h,220
Heroes,Archer Queen,36,1200,322,47000,2d 12h,220
Heroes,Archer Queen,37,1226,331,49000,2d 12h,220
Heroes,Archer Queen,38,1251,338,51000,2d 12h,220
Heroes,Archer Queen,39,1278,347,53000,2d 12h,220
Heroes,Archer Queen,40,1304,356,55000,2d 12h,235
Heroes,Archer Queen,41,1331,365,58000,3d,235
Heroes,Archer Queen,42,1359,374,61000,3d,235
Heroes,Archer Queen,43,1388,383,64000,3d,235
Heroes,Archer Queen,44,1417,393,67000,3d,235
Heroes,Archer Queen,45,1447,403,70000,3d,250
Heroes,Archer Queen,46,1478,413,73000,3d,250
Heroes,Archer Queen,47,1508,423,76000,3d,250
Heroes,Archer Queen,48,1540,434,79000,3d,250
Heroes,Archer Queen,49,1572,445,82000,3d,250
Heroes,Archer Queen,50,1606,456,85000,3d,265
Heroes,Archer Queen,51,1646,465,86000,3d,265
Heroes,Archer Queen,52,1688,474,87000,3d,265
Heroes,Archer Queen,53,1730,485,88000,3d,265
Heroes,Archer Queen,54,1774,495,89000,3d,265
Heroes,Archer Queen,55,1819,505,90000,3d,280
Heroes,Archer Queen,56,1865,515,93000,3d,280
Heroes,Archer Queen,57,1912,526,96000,3d,280
Heroes,Archer Queen,58,1960,537,99000,3d,280
Heroes,Archer Queen,59,2010,548,102000,3d,280
Heroes,Archer Queen,60,2060,559,105000,3d,295
Heroes,Archer Queen,61,2111,570,107000,4d,295
Heroes,Archer Queen,62,2164,581,109000,4d,295
Heroes,Archer Queen,63,2218,593,111000,4d,295
Heroes,Archer Queen,64,2274,605,113000,4d,295
Heroes,Archer Queen,65,2330,617,115000,4d,310
Heroes,Archer Queen,66,2384,628,117000,4d,310
Heroes,Archer Queen,67,2432,638,119000,4d,310
Heroes,Archer Queen,68,2476,648,121000,4d,310
Heroes,Archer Queen,69,2516,656,123000,4d,310
Heroes,Archer Queen,70,2552,664,125000,4d,325
Heroes,Archer Queen,71,2584,671,130000,4d,325
Heroes,Archer Queen,72,2616,677,135000,4d,325
Heroes,Archer Queen,73,2648,682,140000,4d,325
Heroes,Archer Queen,74,2680,687,145000,4d,325
Heroes,Archer Queen,75,2712,692,150000,4d,340
Heroes,Archer Queen,76,2740,697,155000,4d,340
Heroes,Archer Queen,77,2768,701,160000,4d,340
Heroes,Archer Queen,78,2796,706,165000,4d,340
Heroes,Archer Queen,79,2824,710,170000,4d,340
Heroes,Archer Queen,80,2852,714,175000,4d,355
Heroes,Archer Queen,81,2880,717,180000,5d,355
Heroes,Archer Queen,82,2904,721,185000,5d,355
Heroes,Archer Queen,83,2928,724,190000,5d,355
Heroes,Archer Queen,84,2952,728,195000,5d,355
Heroes,Archer Queen,85,2976,731,200000,5d,370
Heroes,Archer Queen,86,3000,734,215000,6d,370
Heroes,Archer Queen,87,3024,738,225000,6d,370
Heroes,Archer Queen,88,3048,741,235000,6d,370
Heroes,Archer Queen,89,3072,745,245000,6d,370
Heroes,Archer Queen,90,3096,748,255000,6d,385
Heroes,Archer Queen,91,3120,751,280000,7d,385
Heroes,Archer Queen,92,3144,755,290000,7d,385
Heroes,Archer Queen,93,3168,758,300000,7d,385
Heroes,Archer Queen,94,3192,762,310000,7d,385
Heroes,Archer Queen,95,3216,765,320000,7d,400
Heroes,Archer Queen,96,3240,768,340000,8d,400
Heroes,Archer Queen,97,3264,771,350000,8d,400
Heroes,Archer Queen,98,3288,774,360000,8d,400
Heroes,Archer Queen,99,3312,777,370000,8d,400
Heroes,Archer Queen,100,3336,780,380000,8d,415
Heroes,Archer Queen,101,3360,783,400000,8d,415
Heroes,Archer Queen,102,3384,786,410000,8d,415
Heroes,Archer Queen,103,3408,789,420000,8d,415
Heroes,Archer Queen,104,3432,792,430000,8d,415
Heroes,Archer Queen,105,3456,795,450000,8d,430
Heroes,Barbarian King,1,722,51,N/A,N/A,4
Heroes,Barbarian King,2,1481,104,5000,2h,7
Heroes,Barbarian King,3,1518,105,5500,4h,7
Heroes,Barbarian King,4,1556,108,6000,8h,7
Heroes,Barbarian King,5,1595,110,6500,10h,7
Heroes,Barbarian King,6,1635,112,7000,12h,7
Heroes,Barbarian King,7,1675,115,7500,14h,7
Heroes,Barbarian King,8,1717,116,8000,16h,7
Heroes,Barbarian King,9,1760,119,8500,18h,7
Heroes,Barbarian King,10,1805,122,10000,20h,7
Heroes,Barbarian King,11,1850,124,10500,22h,8
Heroes,Barbarian King,12,1896,127,11000,1d,8
Heroes,Barbarian King,13,1943,129,11500,1d,8
Heroes,Barbarian King,14,1992,132,12000,1d,8
Heroes,Barbarian King,15,2042,134,12500,1d,8
Heroes,Barbarian King,16,2093,137,13000,1d,8
Heroes,Barbarian King,17,2145,139,13500,1d,8
Heroes,Barbarian King,18,2198,143,14000,1d,8
Heroes,Barbarian King,19,2253,145,14500,1d,8
Heroes,Barbarian King,20,2309,148,15000,1d,8
Heroes,Barbarian King,21,2367,151,17000,1d,9
Heroes,Barbarian King,22,2427,154,19000,1d,9
Heroes,Barbarian King,23,2487,157,21000,1d,9
Heroes,Barbarian King,24,2549,161,23000,1d,9
Heroes,Barbarian King,25,2613,164,25000,1d,9
Heroes,Barbarian King,26,2678,167,27000,2d,9
Heroes,Barbarian King,27,2746,170,29000,2d,9
Heroes,Barbarian King,28,2814,173,31000,2d,9
Heroes,Barbarian King,29,2885,177,33000,2d,9
Heroes,Barbarian King,30,2956,181,35000,2d,9
Heroes,Barbarian King,31,3030,184,37000,2d 6h,10
Heroes,Barbarian King,32,3107,188,39000,2d 6h,10
Heroes,Barbarian King,33,3184,192,41000,2d 6h,10
Heroes,Barbarian King,34,3264,196,43000,2d 6h,10
Heroes,Barbarian King,35,3346,200,45000,2d 6h,10
Heroes,Barbarian King,36,3429,203,47000,2d 12h,10
Heroes,Barbarian King,37,3515,207,49000,2d 12h,10
Heroes,Barbarian King,38,3602,212,51000,2d 12h,10
Heroes,Barbarian King,39,3692,216,53000,2d 12h,10
Heroes,Barbarian King,40,3785,220,55000,2d 12h,10
Heroes,Barbarian King,41,3879,234,58000,3d,11
Heroes,Barbarian King,42,3976,239,61000,3d,11
Heroes,Barbarian King,43,4076,244,64000,3d,11
Heroes,Barbarian King,44,4178,249,67000,3d,11
Heroes,Barbarian King,45,4282,254,70000,3d,11
Heroes,Barbarian King,46,4389,259,73000,3d,11
Heroes,Barbarian King,47,4499,265,76000,3d,11
Heroes,Barbarian King,48,4611,270,79000,3d,11
Heroes,Barbarian King,49,4727,276,82000,3d,11
Heroes,Barbarian King,50,4845,282,85000,3d,11
Heroes,Barbarian King,51,4967,288,86000,3d,12
Heroes,Barbarian King,52,5092,294,87000,3d,12
Heroes,Barbarian King,53,5219,300,88000,3d,12
Heroes,Barbarian King,54,5350,307,89000,3d,12
Heroes,Barbarian King,55,5484,314,90000,3d,12
Heroes,Barbarian King,56,5622,320,93000,3d,12
Heroes,Barbarian King,57,5763,327,96000,3d,12
Heroes,Barbarian King,58,5908,334,99000,3d,12
Heroes,Barbarian King,59,6055,341,102000,3d,12
Heroes,Barbarian King,60,6208,349,105000,3d,12
Heroes,Barbarian King,61,6363,355,107000,4d,12
Heroes,Barbarian King,62,6522,362,109000,4d,12
Heroes,Barbarian King,63,6685,370,111000,4d,12
Heroes,Barbarian King,64,6853,377,113000,4d,12
Heroes,Barbarian King,65,7024,385,115000,4d,12
Heroes,Barbarian King,66,7200,393,117000,4d,13
Heroes,Barbarian King,67,7378,400,119000,4d,13
Heroes,Barbarian King,68,7557,408,121000,4d,13
Heroes,Barbarian King,69,7735,417,123000,4d,13
Heroes,Barbarian King,70,7905,425,125000,4d,13
Heroes,Barbarian King,71,8075,434,130000,4d,13
Heroes,Barbarian King,72,8245,442,135000,4d,13
Heroes,Barbarian King,73,8415,451,140000,4d,13
Heroes,Barbarian King,74,8585,459,145000,4d,13
Heroes,Barbarian King,75,8755,468,150000,4d,13
Heroes,Barbarian King,76,8917,475,155000,4d,14
Heroes,Barbarian King,77,9078,483,160000,4d,14
Heroes,Barbarian King,78,9240,490,165000,4d,14
Heroes,Barbarian King,79,9401,498,170000,4d,14
Heroes,Barbarian King,80,9563,506,175000,4d,14
Heroes,Barbarian King,81,9690,513,180000,5d,14
Heroes,Barbarian King,82,9818,519,185000,5d,14
Heroes,Barbarian King,83,9945,526,195000,5d,14
Heroes,Barbarian King,84,10073,533,205000,5d,14
Heroes,Barbarian King,85,10200,540,215000,5d,14
Heroes,Barbarian King,86,10328,547,220000,6d,15
Heroes,Barbarian King,87,10455,553,230000,6d,15
